"1855Arizona89A","Sedona","AZ","86336","AUTO_UNIQUE_ID_2019-10-01_jennismarie_GFaddresses","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType","PPostArticle","PPreArticle","PPreType","PNumber","PNumberFractional","PPreDirectional","PName","PSuffix","PPostDirectional","PSuiteType","PSuiteNumber","PPostOfficeBoxType","PPostOfficeBoxNumber","PCity","PState","PZip","PZipPlus1","PZipPlus2","PZipPlus3","PZipPlus4","PZipPlus5","PPreQualifier","PPostQualifier","PConsolidatedCity","PMinorCivilDivision","PCountySubRegion","PCounty"
"120 N Leroux St"," Flagstaff","AZ","86001",1,"USCGeocoder",187.5235,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1991384,-111.6482982,"Exact","","","","120","","N","LEROUX","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"12 S Mikes Pike St"," Flagstaff","AZ","86001",2,"USCGeocoder",218.7029,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2302313320.55422","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",35.2894068826597,-111.637740931956,"Relaxed;Soundex","","","","12","","S","MIKES PIKE","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"120 N Leroux St"," Flagstaff","AZ","86001",3,"USCGeocoder",171.7248,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1991384,-111.6482982,"Exact","","","","120","","N","LEROUX","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"6 E Route 66"," Flagstaff","AZ","86001",4,"USCGeocoder",218.8067,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1975636,-111.6488263,"Exact","","","RT","6","","E","66","","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"11 Beaver St #1"," Flagstaff","AZ","86001",5,"USCGeocoder",250.0906,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","95.8579881656805","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1964291,-111.6509703,"Relaxed","","","","11","","","BEAVER","ST","","UNIT","#1","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"16 N San Francisco St"," Flagstaff","AZ","86001",6,"USCGeocoder",203.0879,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1977532,-111.6476986,"Exact","","","","16","","N","SAN FRANCISCO","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"34 S San Francisco St"," Flagstaff","AZ","86001",7,"USCGeocoder",265.6187,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.195685,-111.6486708,"Exact","","","","34","","S","SAN FRANCISCO","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"52 S San Francisco St"," Flagstaff","AZ","86001",8,"USCGeocoder",171.8865,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.195475,-111.648768,"Exact","","","","52","","S","SAN FRANCISCO","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"110 S San Francisco St"," Flagstaff","AZ","86001",9,"USCGeocoder",171.9171,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1950096,-111.648978,"Exact","","","","110","","S","SAN FRANCISCO","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"109 E Phoenix Ave"," Flagstaff","AZ","86001",10,"USCGeocoder",171.984,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1960907,-111.6482012,"Exact","","","","109","","E","PHOENIX","AVE","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
