Picazzo's Healthy Italian Kitchen,"1855 Arizona 89A, Sedona, AZ 86336",(928) 282-4140,"
picazzos.com
"
diablo burger,"120 N Leroux St, Flagstaff, AZ 86001",(928) 774-3274,"
diabloburger.com
"
The Toasted Owl Cafe,"12 S Mikes Pike St, Flagstaff, AZ 86001",(928) 774-5326,"
thetoastedowl.com
"
Mix Flagstaff,"120 N Leroux St, Flagstaff, AZ 86001",(928) 774-8200,"
mixflagstaff.com
"
Karma Sushi Bar Grill,"6 E Route 66, Flagstaff, AZ 86001",(928) 774-6100,"
karmaflagstaff.com
"
Beaver Street Brewery,"11 Beaver St #1, Flagstaff, AZ 86001",(928) 779-0079,"
beaverstreetbrewery.com
"
Criollo Latin Kitchen,"16 N San Francisco St, Flagstaff, AZ 86001",(928) 774-0541,"
criollolatinkitchen.com
"
Tinderbox Kitchen,"34 S San Francisco St, Flagstaff, AZ 86001",(928) 226-8400,"
tinderboxkitchen.com
"
Tourist Home Urban Market,"52 S San Francisco St, Flagstaff, AZ 86001",(928) 779-2811,"
tinderboxkitchen.com/tourist-home
"
Proper Meats + Provisions,"110 S San Francisco St, Flagstaff, AZ 86001",(928) 774-9001,"
propermeats.com
"
The Pizza Patio,"109 E Phoenix Ave, Flagstaff, AZ 86001",(928) 779-4000,"
thepizzapatio.com
"
Lumberyard Brewing Co,"5 S San Francisco St, Flagstaff, AZ 86001",(928) 779-2739,"
lumberyardbrewingcompany.com
"
Fat Olives,"2308 Route 66 East, Flagstaff, Arizona 86004",(928) 853-0056,"
fatolivesflagstaff.com
"
Smashburger,"1020 South Milton Road, Suite 102, Flagstaff, AZ 86001",(928) 433-4060,"
smashburger.com
"
Your Pie,"2619 S Woodlands Village Blvd Suite #650, Flagstaff, AZ 86001",(928) 440-5500,"
yourpie.com
"
Coco's Bakery Restaurant,"360 W Forest Meadows St, Flagstaff, AZ 86001",(928) 774-8886,"
cocosbakery.com
"
Kachina Restaurant,"522 E Rte 66, Flagstaff, AZ 86001",(928) 779-1944,"
kachinarestaurant.com
"
Brix,"413 N San Francisco St, Flagstaff, AZ 86001",(928) 213-1021,"
brixflagstaff.com
"
Fratelli Pizza,"119 W Phoenix Ave, Flagstaff, AZ 86001",(928) 774-9200,"
fratellipizza.net
"
Nomads Global Lounge,"19 W Phoenix Ave, Flagstaff, AZ 86001",(928) 774-7958,"
modubeau.com/nomads-global-lounge
"
La Vetta Ristorante Italiano,"103 N Leroux St, Flagstaff, AZ 86001",(928) 440-5280,"
lavettaitaliano.com
"
Salsa Brava,"2220 E W Rte 66, Flagstaff, AZ 86004",(928) 779-5293,"
salsabravaflagstaff.com
"
"Ewa's Thai Cuisine, LLC.","110 S San Francisco St, Flagstaff, AZ 86001",(928) 774-4060,"
ewathai.com
"
Altitudes Bar & Grill,"2 Beaver St, Flagstaff, AZ 86001",(928) 214-8218,"
altitudesbarandgrill.com
"
Delhi Palace,"2500 S Woodlands Village Blvd #8, Flagstaff, AZ 86001",(928) 556-0019,"
delhipalaceflagstaff.com
"
Macy's Eurpean Coffeehouse,"14 Beaver St, Flagstaff, AZ 86001",(928) 774-2243,"
macyscoffee.net
"
The Mayor,"409 S San Francisco St, Flagstaff, AZ 86001",(928) 774-3846,"
themayorflagstaff.com
"
Campus Coffee Bean and Grill,"1800 S Milton Rd, Flagstaff, AZ 86001",(928) 556-0660,"
campuscoffebean.com/menu.html
"
Dark Sky Brewing Co.,"117 N Beaver St A, Flagstaff, AZ 86001",(928) 235-4525,"
darkskybrewing.com
"
