Picazzo's Healthy Italian Kitchen,"1855 Arizona 89A, Sedona, AZ 86336",(928) 282-4140,34.89426961,-111.8742945
diablo burger,"120 N Leroux St, Flagstaff, AZ 86001",(928) 774-3274,35.1991384,-111.6482982
The Toasted Owl Cafe,"12 S Mikes Pike St, Flagstaff, AZ 86001",(928) 774-5326,35.28940688,-111.6377409
Mix Flagstaff,"120 N Leroux St, Flagstaff, AZ 86001",(928) 774-8200,35.1991384,-111.6482982
Karma Sushi Bar Grill,"6 E Route 66, Flagstaff, AZ 86001",(928) 774-6100,35.1975636,-111.6488263
Beaver Street Brewery,"11 Beaver St #1, Flagstaff, AZ 86001",(928) 779-0079,35.1964291,-111.6509703
Criollo Latin Kitchen,"16 N San Francisco St, Flagstaff, AZ 86001",(928) 774-0541,35.1977532,-111.6476986
Tinderbox Kitchen,"34 S San Francisco St, Flagstaff, AZ 86001",(928) 226-8400,35.195685,-111.6486708
Tourist Home Urban Market,"52 S San Francisco St, Flagstaff, AZ 86001",(928) 779-2811,35.195475,-111.648768
Proper Meats + Provisions,"110 S San Francisco St, Flagstaff, AZ 86001",(928) 774-9001,35.1950096,-111.648978
The Pizza Patio,"109 E Phoenix Ave, Flagstaff, AZ 86001",(928) 779-4000,35.1960907,-111.6482012
Lumberyard Brewing Co,"5 S San Francisco St, Flagstaff, AZ 86001",(928) 779-2739,35.1965863,-111.6485004
Fat Olives,"2308 Route 66 East, Flagstaff, Arizona 86004",(928) 853-0056,35.2050154,-111.6144411
Smashburger,"1020 South Milton Road, Suite 102, Flagstaff, AZ 86001",(928) 433-4060,0,0
Your Pie,"2619 S Woodlands Village Blvd Suite #650, Flagstaff, AZ 86001",(928) 440-5500,35.1770293,-111.668542
Coco's Bakery Restaurant,"360 W Forest Meadows St, Flagstaff, AZ 86001",(928) 774-8886,35.1791738,-111.662584
Kachina Restaurant,"522 E Rte 66, Flagstaff, AZ 86001",(928) 779-1944,35.1958357,-111.6432477
Brix,"413 N San Francisco St, Flagstaff, AZ 86001",(928) 213-1021,35.2012565,-111.6462732
Fratelli Pizza,"119 W Phoenix Ave, Flagstaff, AZ 86001",(928) 774-9200,35.1969379,-111.6516387
Nomads Global Lounge,"19 W Phoenix Ave, Flagstaff, AZ 86001",(928) 774-7958,35.1966988,-111.6505008
La Vetta Ristorante Italiano,"103 N Leroux St, Flagstaff, AZ 86001",(928) 440-5280,35.1987376,-111.6487262
Salsa Brava,"2220 E W Rte 66, Flagstaff, AZ 86004",(928) 779-5293,35.2038656,-111.6154284
"Ewa's Thai Cuisine, LLC.","110 S San Francisco St, Flagstaff, AZ 86001",(928) 774-4060,35.1950096,-111.648978
Altitudes Bar & Grill,"2 Beaver St, Flagstaff, AZ 86001",(928) 214-8218,35.1971699,-111.6504618
Delhi Palace,"2500 S Woodlands Village Blvd #8, Flagstaff, AZ 86001",(928) 556-0019,35.1780371,-111.6680942
Macy's Eurpean Coffeehouse,"14 Beaver St, Flagstaff, AZ 86001",(928) 774-2243,35.1963211,-111.6508028
The Mayor,"409 S San Francisco St, Flagstaff, AZ 86001",(928) 774-3846,35.1923208,-111.6504433
Campus Coffee Bean and Grill,"1800 S Milton Rd, Flagstaff, AZ 86001",(928) 556-0660,35.1829672,-111.6611679
Dark Sky Brewing Co.,"117 N Beaver St A, Flagstaff, AZ 86001",(928) 235-4525,35.199469,-111.649623
India Palace,"103 W Birch Ave, Flagstaff, AZ 86001",(928) 774-0081,35.1997499,-111.649677
Mozelle's Downtown Bakery,"111 E Aspen Ave, Flagstaff, AZ 86001",(928) 607-7855,35.1979124,-111.6472155
Root Public House,"101 S San Francisco St, Flagstaff, AZ 86001",(928) 774-1402,35.1952937,-111.6490695
Pita Jungle,"320 Regent St, Flagstaff, AZ 86001",(928) 774-0086,35.1915515,-111.6417381
Oscars Burritos Fiesta,"1500 South Riordan Ranch Street, Flagstaff, AZ 86001",(928) 774-3600,35.1864606,-111.6599146
Lone Spur Cafe,"1300 S Milton Rd, Flagstaff, AZ 86001",(928) 440-5330,35.187664,-111.6613141
Hiro's Sushi,"1312 S Plaza Way, Flagstaff, AZ 86001",(928) 226-8030,35.1873989,-111.6634614
Hickory's Smokehouse BBQ,"1435 S Milton Rd, Flagstaff, AZ 86001",(928) 774-2278,35.1863958,-111.6617082
The Northern Pines Restaurant,"2200 E Butler Ave, Flagstaff, AZ 86004",(928) 266-1929,35.1923654,-111.6242971
Western Gold Restaurant,"2515 East Butler Avenue, Flagstaff, AZ 86004",(928) 779-7979,35.191559,-111.6197422
Grimaldi's Pizzeria,"601 Piccadilly Dr #55, Flagstaff, AZ 86001",(928) 774-9038,35.1912551,-111.6429835
Brandy's Restaurant & Bakery,"1500 E Cedar Ave, Flagstaff, AZ 86004",(928) 779-2187,35.2182007,-111.6211394
Eat n' Run Route 66 Market & Cafe,"2400 Historic Rte 66, Flagstaff, AZ 86004",(928) 679-9818,35.38762219,-111.3847983
Historic Brewing Company,"4366 E Huntington Dr, Flagstaff, AZ 86004",(855) 484-4677,35.2185747,-111.5862801
The Horsemen Lodge Steakhouse,"8500 US-89, Flagstaff, AZ 86004",(928) 526-2655,35.26507619,-111.5476732
Oregano's Pizza Bistro,"980 N Country Club Dr, Flagstaff, AZ 86004",(928) 233-3000,35.21432,-111.5793985
The Toasted Owl - East Side,"5200 E Cortland Blvd, Flagstaff, AZ 86004",(928) 526-0610,35.2123599,-111.5764441
Indian Gardens Cafe & Market,"3951 N State Rte 89A, Sedona, AZ 86336",(928) 282-7702,34.8741109,-111.7557912
Sedona Pizza Company,"320 N State Rte 89A, Sedona, AZ 86336",(928) 203-5656,34.87714221,-111.7524593
Tii Gavo at Enchantment Resort,"525 Boynton Canyon Road, Sedona, AZ 86336",(844) 244-9489,34.91396456,-111.852706
Che Ah Chi,"525 Boynton Canyon Rd, Sedona, AZ 86336",(928) 204-6000,34.91396456,-111.852706
Picazzo's Healthy Italian Kitchen,"1855 Arizona 89A, Sedona, AZ 86336",(928) 282-4140,34.89426961,-111.8742945
diablo burger,"120 N Leroux St, Flagstaff, AZ 86001",(928) 774-3274,35.1991384,-111.6482982
The Toasted Owl Cafe,"12 S Mikes Pike St, Flagstaff, AZ 86001",(928) 774-5326,35.28940688,-111.6377409
Mix Flagstaff,"120 N Leroux St, Flagstaff, AZ 86001",(928) 774-8200,35.1991384,-111.6482982
Karma Sushi Bar Grill,"6 E Route 66, Flagstaff, AZ 86001",(928) 774-6100,35.1975636,-111.6488263
Beaver Street Brewery,"11 Beaver St #1, Flagstaff, AZ 86001",(928) 779-0079,35.1964291,-111.6509703
Criollo Latin Kitchen,"16 N San Francisco St, Flagstaff, AZ 86001",(928) 774-0541,35.1977532,-111.6476986
Tinderbox Kitchen,"34 S San Francisco St, Flagstaff, AZ 86001",(928) 226-8400,35.195685,-111.6486708
Tourist Home Urban Market,"52 S San Francisco St, Flagstaff, AZ 86001",(928) 779-2811,35.195475,-111.648768
Proper Meats + Provisions,"110 S San Francisco St, Flagstaff, AZ 86001",(928) 774-9001,35.1950096,-111.648978
The Pizza Patio,"109 E Phoenix Ave, Flagstaff, AZ 86001",(928) 779-4000,35.1960907,-111.6482012
Lumberyard Brewing Co,"5 S San Francisco St, Flagstaff, AZ 86001",(928) 779-2739,35.1965863,-111.6485004
Fat Olives,"2308 Route 66 East, Flagstaff, Arizona 86004",(928) 853-0056,35.2050154,-111.6144411
Smashburger,"1020 South Milton Road, Suite 102, Flagstaff, AZ 86001",(928) 433-4060,0,0
Your Pie,"2619 S Woodlands Village Blvd Suite #650, Flagstaff, AZ 86001",(928) 440-5500,35.1770293,-111.668542
Coco's Bakery Restaurant,"360 W Forest Meadows St, Flagstaff, AZ 86001",(928) 774-8886,35.1791738,-111.662584
Kachina Restaurant,"522 E Rte 66, Flagstaff, AZ 86001",(928) 779-1944,35.1958357,-111.6432477
Brix,"413 N San Francisco St, Flagstaff, AZ 86001",(928) 213-1021,35.2012565,-111.6462732
Fratelli Pizza,"119 W Phoenix Ave, Flagstaff, AZ 86001",(928) 774-9200,35.1969379,-111.6516387
Nomads Global Lounge,"19 W Phoenix Ave, Flagstaff, AZ 86001",(928) 774-7958,35.1966988,-111.6505008
La Vetta Ristorante Italiano,"103 N Leroux St, Flagstaff, AZ 86001",(928) 440-5280,35.1987376,-111.6487262
Salsa Brava,"2220 E W Rte 66, Flagstaff, AZ 86004",(928) 779-5293,35.2038656,-111.6154284
"Ewa's Thai Cuisine, LLC.","110 S San Francisco St, Flagstaff, AZ 86001",(928) 774-4060,35.1950096,-111.648978
Altitudes Bar & Grill,"2 Beaver St, Flagstaff, AZ 86001",(928) 214-8218,35.1971699,-111.6504618
Delhi Palace,"2500 S Woodlands Village Blvd #8, Flagstaff, AZ 86001",(928) 556-0019,35.1780371,-111.6680942
Macy's Eurpean Coffeehouse,"14 Beaver St, Flagstaff, AZ 86001",(928) 774-2243,35.1963211,-111.6508028
The Mayor,"409 S San Francisco St, Flagstaff, AZ 86001",(928) 774-3846,35.1923208,-111.6504433
Campus Coffee Bean and Grill,"1800 S Milton Rd, Flagstaff, AZ 86001",(928) 556-0660,35.1829672,-111.6611679
Dark Sky Brewing Co.,"117 N Beaver St A, Flagstaff, AZ 86001",(928) 235-4525,35.199469,-111.649623
India Palace,"103 W Birch Ave, Flagstaff, AZ 86001",(928) 774-0081,35.1997499,-111.649677
Mozelle's Downtown Bakery,"111 E Aspen Ave, Flagstaff, AZ 86001",(928) 607-7855,35.1979124,-111.6472155
Root Public House,"101 S San Francisco St, Flagstaff, AZ 86001",(928) 774-1402,35.1952937,-111.6490695
Pita Jungle,"320 Regent St, Flagstaff, AZ 86001",(928) 774-0086,35.1915515,-111.6417381
Oscars Burritos Fiesta,"1500 South Riordan Ranch Street, Flagstaff, AZ 86001",(928) 774-3600,35.1864606,-111.6599146
Lone Spur Cafe,"1300 S Milton Rd, Flagstaff, AZ 86001",(928) 440-5330,35.187664,-111.6613141
Hiro's Sushi,"1312 S Plaza Way, Flagstaff, AZ 86001",(928) 226-8030,35.1873989,-111.6634614
Hickory's Smokehouse BBQ,"1435 S Milton Rd, Flagstaff, AZ 86001",(928) 774-2278,35.1863958,-111.6617082
The Northern Pines Restaurant,"2200 E Butler Ave, Flagstaff, AZ 86004",(928) 266-1929,35.1923654,-111.6242971
Western Gold Restaurant,"2515 East Butler Avenue, Flagstaff, AZ 86004",(928) 779-7979,35.191559,-111.6197422
Grimaldi's Pizzeria,"601 Piccadilly Dr #55, Flagstaff, AZ 86001",(928) 774-9038,35.1912551,-111.6429835
Brandy's Restaurant & Bakery,"1500 E Cedar Ave, Flagstaff, AZ 86004",(928) 779-2187,35.2182007,-111.6211394
Eat n' Run Route 66 Market & Cafe,"2400 Historic Rte 66, Flagstaff, AZ 86004",(928) 679-9818,35.38762219,-111.3847983
Historic Brewing Company,"4366 E Huntington Dr, Flagstaff, AZ 86004",(855) 484-4677,35.2185747,-111.5862801
The Horsemen Lodge Steakhouse,"8500 US-89, Flagstaff, AZ 86004",(928) 526-2655,35.26507619,-111.5476732
Oregano's Pizza Bistro,"980 N Country Club Dr, Flagstaff, AZ 86004",(928) 233-3000,35.21432,-111.5793985
The Toasted Owl - East Side,"5200 E Cortland Blvd, Flagstaff, AZ 86004",(928) 526-0610,35.2123599,-111.5764441
Indian Gardens Cafe & Market,"3951 N State Rte 89A, Sedona, AZ 86336",(928) 282-7702,34.8741109,-111.7557912
Sedona Pizza Company,"320 N State Rte 89A, Sedona, AZ 86336",(928) 203-5656,34.87714221,-111.7524593
Tii Gavo at Enchantment Resort,"525 Boynton Canyon Road, Sedona, AZ 86336",(844) 244-9489,34.91396456,-111.852706
Che Ah Chi,"525 Boynton Canyon Rd, Sedona, AZ 86336",(928) 204-6000,34.91396456,-111.852706
